ugov_id,brand_name_tax,TwitterHandle,TwitterHandle2
32023,Shell,@Shell,
40021,Sheraton,@sheratonhotels,
1001296,Sherwin Williams,@SherwinWilliams,
1000483,Shock Top,@ShockTop,
36009,Shoe Carnival,@ShoeCarnival,
24021,Shop 'n Save,@shopnsave,
1000558,ShopHouse,NOT AVAILABLE,
31018,Showtime,@Showtime,
3021,Sierra Mist,NOT AVAILABLE,
1001480,Simple,@SimpleSkinUS,
53028,Simply Orange,NOT AVAILABLE,
20017,Singulair,NOT AVAILABLE,
29017,SiriusXM,@SIRIUSXM,
38017,Six Flags,@SixFlags,
41024,Skechers,@SKECHERSUSA,
37021,Skil,@SkilTools,
1000611,Skullcandy,@skullcandy,
29026,Skype,@Skype,
1000416,Sleep Number,@sleepnumber,
1000422,Sleep Train,NOT AVAILABLE,
1000417,Sleepys,NOT AVAILABLE,
1001081,Sling TV,@Sling,
52005,Smartfood,@smartfood,
53014,Smartwater,@smartwater,
1000071,Smashbox,@Smashbox,
6022,Smirnoff,@SmirnoffUS,@SmirnoffEurope
1000401,Snapchat,@Snapchat,
4023,Snapple,@Snapple,
52018,Snyder's,@Snyders_Hanover,
53009,Sobe Life Water,@SoBe,
1001481,SoftSoap,NOT AVAILABLE,
18022,Sonic,@sonicdrivein,
1000608,Sonos,@Sonos,
8022,Sony,@Sony,@SonyElectronics
1001185,SOREL,@sorelfootwear,
1021,Southwest,@SouthwestAir,
13029,Special K,@SpecialK,
1000413,Spectrum,@GetSpectrum,
31019,SpikeTV,@paramountnet,
1000642,Spirit Airlines,@SpiritAirlines,
53561,Spotify,@Spotify,
1000499,Springhill Suites,@SpringHillSuite,
29018,Sprint,@sprint,
3023,Sprite,@Sprite,
1000675,Sprouts Market,@sproutsfm,
3024,Squirt,@SquirtSoda,
1000770,St. Ives,@StIvesSkin,
5023,St. Pauli Girl,NOT AVAILABLE,
52003,Stacy's,@StacysPitaChips,
37022,Stanley,@stanleytools,
36021,Staples,@Staples,@StaplesStores
19024,Starbucks,@Starbucks,
53027,Starbucks Bottled Frappuccino,NOT AVAILABLE,
53026,Starbucks Doubleshot,@doubleshot,
53077,Starbucks DoubleShot Energy+Coffee,NOT AVAILABLE,
37023,Starrett,@StarrettTools,
18023,Steak 'n' Shake,@SteaknShake,
